SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
c1cc2ccc3cccc4ccc(c1)c2c34,pyrene,1,Done,,3.359,-5.695,PahP_glide_grid,-5.695,-2.449,0.0,-0.0,-2.03,-22.44,-0.6241,0.0,0.0,-30.89,-23.07,0.0
c1cc2ccc3cccc4ccc(c1)c2c34,pyrene,1,Done,,3.359,-5.883,PahP_glide_grid,-5.883,-2.661,0.0,-0.0,-2.03,-21.67,-0.7201,0.0,0.0,-30.47,-22.39,0.0
c1cc2ccc3cccc4ccc(c1)c2c34,pyrene,1,Done,,3.359,-4.888,PahP_glide_grid,-4.888,-1.772,0.0,-0.0,-2.03,-19.49,-0.7353,0.0,0.0,-26.94,-20.23,0.0
c1cc2ccc3cccc4ccc(c1)c2c34,pyrene,1,Done,,3.359,-4.709,PahP_glide_grid,-4.709,-1.665,0.0,-0.0,-2.03,-19.66,-0.2044,0.0,0.0,-26.34,-19.87,0.0
c1cc2ccc3cccc4ccc(c1)c2c34,pyrene,1,Done,,3.359,-4.998,PahP_glide_grid,-4.998,-1.919,0.0,-0.0,-2.03,-18.51,-0.8214,0.0,0.0,-26.2,-19.33,0.0
c1ccc2c(c1)ccc1ccccc12,phenanthrene,2,Done,,1.125,-5.594,PahP_glide_grid,-5.594,-2.221,0.0,-0.0,-2.194,-21.7,-0.6232,0.0,0.0,-29.79,-22.32,0.0
c1ccc2c(c1)ccc1ccccc12,phenanthrene,2,Done,,1.125,-5.938,PahP_glide_grid,-5.938,-2.504,0.0,-0.0,-2.265,-20.87,-0.8377,0.0,0.0,-29.64,-21.71,0.0
c1ccc2c(c1)ccc1ccccc12,phenanthrene,2,Done,,1.125,-5.669,PahP_glide_grid,-5.669,-2.32,0.0,-0.0,-2.194,-20.06,-1.017,0.0,0.0,-28.65,-21.08,0.0
c1ccc2c(c1)ccc1ccccc12,phenanthrene,2,Done,,1.125,-5.684,PahP_glide_grid,-5.684,-2.347,0.0,-0.0,-2.194,-20.04,-0.9422,0.0,0.0,-28.57,-20.98,0.0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,benzo_a_pyrene,3,Done,,1.344,-6.008,PahP_glide_grid,-6.008,-2.947,0.0,-0.0,-1.755,-24.4,-0.5678,0.0,0.0,-34.0,-24.97,0.0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,benzo_a_pyrene,3,Done,,1.344,-5.973,PahP_glide_grid,-5.973,-2.943,0.0,-0.0,-1.73,-24.34,-0.5491,0.0,0.0,-33.86,-24.89,0.0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,benzo_a_pyrene,3,Done,,1.344,-5.685,PahP_glide_grid,-5.685,-2.586,0.0,-0.0,-1.758,-24.54,-0.7591,0.0,0.0,-33.84,-25.3,0.0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,benzo_a_pyrene,3,Done,,1.344,-5.251,PahP_glide_grid,-5.251,-2.255,0.0,-0.0,-1.689,-24.48,-0.5498,0.0,0.0,-32.92,-25.03,0.0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,benzo_a_pyrene,3,Done,,1.344,-5.555,PahP_glide_grid,-5.555,-2.585,0.0,-0.0,-1.689,-23.7,-0.6381,0.0,0.0,-32.68,-24.34,0.0
c1ccc2ccccc2c1,naphthalene,4,Done,,1.047,-5.329,PahP_glide_grid,-5.329,-2.072,0.0,-0.0,-2.25,-18.14,-0.6728,0.0,0.0,-24.81,-18.81,0.0
c1ccc2ccccc2c1,naphthalene,4,Done,,1.047,-5.471,PahP_glide_grid,-5.471,-2.308,0.0,-0.0,-2.25,-17.35,-0.2982,0.0,0.0,-23.81,-17.65,0.0
c1ccc2ccccc2c1,naphthalene,4,Done,,1.047,-5.022,PahP_glide_grid,-5.022,-1.879,0.0,-0.0,-2.25,-16.56,-0.4361,0.0,0.0,-22.65,-16.99,0.0
c1ccc2ccccc2c1,naphthalene,4,Done,,1.047,-4.656,PahP_glide_grid,-4.656,-1.555,0.0,-0.0,-2.25,-14.62,-0.7971,0.0,0.0,-20.67,-15.42,0.0
c1ccc2cc3ccccc3cc2c1,anthracene,5,Done,,1.25,-5.473,PahP_glide_grid,-5.473,-2.214,0.0,-0.0,-2.194,-21.93,0.2094,0.0,0.0,-28.74,-21.72,0.0
c1ccc2cc3ccccc3cc2c1,anthracene,5,Done,,1.25,-6.114,PahP_glide_grid,-6.114,-2.8,0.0,-0.0,-2.236,-20.51,-0.3578,0.0,0.0,-28.7,-20.87,0.0
c1ccc2cc3ccccc3cc2c1,anthracene,5,Done,,1.25,-5.453,PahP_glide_grid,-5.453,-2.132,0.0,-0.0,-2.194,-20.76,-0.5934,0.0,0.0,-28.34,-21.35,0.0
c1ccc2cc3ccccc3cc2c1,anthracene,5,Done,,1.25,-5.772,PahP_glide_grid,-5.772,-2.424,0.0,-0.0,-2.256,-19.28,-0.8547,0.0,0.0,-27.53,-20.13,0.0
c1ccc2cc3ccccc3cc2c1,anthracene,5,Done,,1.25,-5.203,PahP_glide_grid,-5.203,-1.942,0.0,-0.0,-2.194,-19.6,-0.5794,0.0,0.0,-26.85,-20.18,0.0
c1ccc2c(c1)-c1cccc3cccc-2c13,fluoranthene,6,Done,,1.469,-5.89,PahP_glide_grid,-5.89,-2.613,0.0,-0.0,-2.03,-23.42,-0.5061,0.0,0.0,-32.32,-23.93,0.0
c1ccc2c(c1)-c1cccc3cccc-2c13,fluoranthene,6,Done,,1.469,-6.03,PahP_glide_grid,-6.03,-2.716,0.0,-0.0,-2.097,-23.31,-0.3411,0.0,0.0,-32.24,-23.65,0.0
c1ccc2c(c1)-c1cccc3cccc-2c13,fluoranthene,6,Done,,1.469,-5.707,PahP_glide_grid,-5.707,-2.47,0.0,-0.0,-2.03,-22.58,-0.5175,0.0,0.0,-31.23,-23.1,0.0
c1ccc2c(c1)-c1cccc3cccc-2c13,fluoranthene,6,Done,,1.469,-5.798,PahP_glide_grid,-5.798,-2.494,0.0,-0.0,-2.092,-21.67,-0.8528,0.0,0.0,-30.79,-22.53,0.0
c1ccc2c(c1)-c1cccc3cccc-2c13,fluoranthene,6,Done,,1.469,-5.454,PahP_glide_grid,-5.454,-2.213,0.0,-0.0,-2.03,-21.47,-0.9159,0.0,0.0,-30.16,-22.39,0.0
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,glucose_NEGCTRL,7,Done,,4.984,-6.04,PahP_glide_grid,-6.04,-1.006,-0.7857,-0.0,-2.619,-15.71,-8.866,0.4854,0.0,-31.96,-24.58,1.797
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,glucose_NEGCTRL,7,Done,,4.984,-6.003,PahP_glide_grid,-6.003,-1.007,-0.8161,-0.0,-2.627,-15.2,-8.522,0.4854,0.0,-31.06,-23.72,1.777
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,glucose_NEGCTRL,7,Done,,4.984,-5.904,PahP_glide_grid,-5.904,-1.007,-0.8184,-0.0,-2.621,-15.75,-7.699,0.4854,0.0,-30.55,-23.45,1.993
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,glucose_NEGCTRL,7,Done,,4.984,-5.799,PahP_glide_grid,-5.799,-1.011,-0.8013,-0.0,-2.623,-15.98,-7.0,0.4854,0.0,-29.93,-22.98,2.018
